code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc,date
603999,读者传媒,-0.161,30.97,30.62,31.05,29.0,31.02,5585290.0,4.84834,168974155.0,55.304,5.5,891936.0,356774.4,2016-12-26
603998,方盛制药,0.499,18.12,18.06,18.16,17.6,18.03,4055500.0,1.50663,72445478.0,28.313,8.584,784608.17664,487749.12264,2016-12-26
603997,继峰股份,2.694,19.82,19.25,19.94,19.04,19.3,2899049.0,2.54303,56506508.0,45.045,5.718,832440.0,225948.0,2016-12-26
603996,中新科技,-0.683,21.8,21.62,21.9,20.82,21.95,2893850.0,2.80208,61826541.0,30.278,4.888,654327.0,225139.5,2016-12-26
603993,洛阳钼业,-0.777,3.83,3.83,3.84,3.77,3.86,23499953.0,0.18141000000000002,89292225.0,76.6,0.725,6467797.101717,4961278.857717,2016-12-26
603990,麦迪科技,9.995,43.8,43.8,43.8,43.8,39.82,199037.0,0.9951900000000001,8717821.0,67.385,13.354,350400.0,87600.0,2016-12-26
603989,艾华集团,2.253,35.86,35.05,35.97,34.96,35.07,856074.0,1.01461,30335364.0,41.218,6.2620000000000005,1075800.0,302568.75,2016-12-26
603988,中电电机,0.815,70.55,69.5,72.23,69.5,69.98,485200.0,2.16607,34335238.0,133.113,8.725999999999999,564400.0,158032.0,2016-12-26
603987,康德莱,0.882,33.18,32.09,33.4,31.53,32.89,6303383.0,11.98362,204951503.0,55.3,7.881,697742.22,174526.8,2016-12-26
603986,兆易创新,0.0,177.97,0.0,0.0,0.0,177.97,0.0,0.0,0.0,84.748,14.389,1779700.0,444925.0,2016-12-26
603979,金诚信,0.499,18.12,18.02,18.17,17.71,18.03,3104011.0,1.75401,55696476.0,28.762,2.229,815400.0,320663.1168,2016-12-26
603977,国泰集团,3.119,28.43,27.01,28.68,26.7,27.57,8223242.0,14.87562,228667606.0,48.186,7.186,628530.44,157161.04,2016-12-26
603969,银龙股份,1.981,13.9,13.66,13.95,13.44,13.63,2132663.0,1.39727,29282073.0,42.121,3.591,556000.0,212156.395,2016-12-26
603968,醋化股份,1.204,24.38,23.88,24.39,23.6,24.09,1894085.0,1.38659,45386559.0,42.772,4.042,498522.24,333030.8,2016-12-26
603959,百利科技,1.292,29.8,28.85,29.99,28.5,29.42,2032541.0,3.62954,59282040.0,66.222,8.129,667520.0,166880.0,2016-12-26
603958,哈森股份,-1.509,30.67,30.95,30.95,29.5,31.14,1810304.0,3.33048,54779696.0,41.956,5.819,666643.12,166708.907364,2016-12-26
603939,益丰药房,-1.601,29.51,29.98,29.98,28.89,29.99,739833.0,0.47423000000000004,21650917.0,51.411,3.6950000000000003,1070311.935758,460379.608,2016-12-26
603936,博敏电子,2.006,32.54,31.98,32.76,30.78,31.9,1678559.0,2.99208,53326530.0,66.955,5.9190000000000005,544556.9,182549.4,2016-12-26
603928,兴业股份,-9.991,30.9,32.01,32.58,30.9,34.33,20024328.0,39.73081,626043142.0,42.917,8.284,622944.0,155736.0,2016-12-26
603919,金徽酒,0.131,30.55,30.2,30.6,29.71,30.51,1419950.0,2.0285,42831624.0,38.671,5.413,855400.0,213850.0,2016-12-26
603918,金桥信息,3.595,31.41,30.35,31.98,30.35,30.32,3526749.0,2.85928,110205759.0,66.83,12.103,552816.0,387423.504,2016-12-26
603909,合诚股份,0.453,55.41,53.51,56.8,53.51,55.16,2631824.0,10.5273,146181883.0,78.407,9.943,554100.0,138525.0,2016-12-26
603901,永创智能,1.122,14.42,14.2,14.46,13.97,14.26,3220163.0,2.09101,45606300.0,36.05,6.595,576800.0,222068.0,2016-12-26
603900,通灵珠宝,0.026,39.15,39.07,39.45,37.5,39.14,5638375.0,9.27381,217042293.0,39.545,6.107,952110.774,238027.6935,2016-12-26
603899,晨光文具,0.333,18.06,17.99,18.09,17.76,18.0,1599012.0,0.71384,28621986.0,19.442,7.124,1661520.0,404544.0,2016-12-26
603898,好莱客,0.706,32.8,32.3,32.84,32.05,32.57,665393.0,0.7627700000000001,21576599.0,56.552,9.312,983672.0,286127.52,2016-12-26
603889,新澳股份,-2.89,15.12,15.44,15.49,14.71,15.57,4519390.0,3.18399,67894498.0,18.217,4.242,491641.92,214615.0188,2016-12-26
603888,新华网,-1.051,89.48,88.17,89.95,86.5,90.43,2483979.0,4.78582,218669050.0,53.262,11.915,1857709.885312,464427.471328,2016-12-26
603887,城地股份,0.771,54.93,54.31,55.09,52.88,54.51,1527371.0,6.20883,82645531.0,72.276,7.962,538863.3,135127.8,2016-12-26
603885,吉祥航空,-0.455,24.08,24.19,24.29,23.72,24.19,1670773.0,0.7771,40055441.0,24.825,4.046,3090863.18044,517720.0,2016-12-26
603883,老百姓,0.798,46.76,46.41,46.92,45.95,46.39,797000.0,0.94742,36857614.0,47.714,5.739,1248492.0,393360.274916,2016-12-26
603878,武进不锈,10.016,34.49,34.49,34.49,31.3,31.35,22461605.0,44.47843,758231617.0,38.322,4.333,696698.0,174174.5,2016-12-26
603869,北部湾旅,3.063,29.27,28.26,29.29,27.8,28.4,1043148.0,1.43146,29819589.0,83.629,3.5060000000000002,1020955.946436,213298.91976,2016-12-26
603868,飞科电器,1.273,46.14,45.54,46.28,44.82,45.56,801580.0,1.8384900000000002,36530437.0,36.047,11.063,2009858.4,201170.4,2016-12-26
603866,桃李面包,0.092,43.52,43.49,43.56,42.88,43.48,615750.0,1.04052,26587189.0,50.605,10.063,1958948.352,257539.78368,2016-12-26
603861,白云电器,0.426,32.99,32.58,33.44,31.26,32.85,2366865.0,4.8205,76360753.0,68.988,7.469,1349620.9,161980.9,2016-12-26
603859,能科股份,1.801,54.84,53.88,54.9,52.76,53.87,2539772.0,8.94601,136751025.0,120.687,10.79,622763.04,155690.76,2016-12-26
603858,步长制药,-0.692,97.63,97.98,97.98,95.15,98.31,2845459.0,4.07659,274502327.0,16.894,7.104,6656413.4,681457.4,2016-12-26
603843,正平股份,1.346,23.34,22.61,23.58,22.36,23.03,6117320.0,6.13573,141233927.0,80.483,7.796,933607.002,232699.8,2016-12-26
603838,四通股份,0.0,16.2,0.0,0.0,0.0,16.2,0.0,0.0,0.0,34.468,6.604,432021.6,157593.6,2016-12-26
603828,柯利达,2.609,23.99,23.37,24.04,22.97,23.38,1376031.0,2.28881,32593677.0,51.043,4.376,442644.288,144227.88,2016-12-26
603823,百合花,9.99,22.35,22.35,22.35,22.35,20.32,38097.0,0.08466000000000001,851468.0,31.042,6.008,502875.0,100575.0,2016-12-26
603822,嘉澳环保,2.804,63.06,61.3,64.64,60.14,61.34,1743276.0,9.50014,108911341.0,89.257,7.479,462545.1,115715.1,2016-12-26
603819,神力股份,2.019,38.91,37.01,39.1,36.05,38.14,4418415.0,14.72805,167510427.0,76.294,7.166,466920.0,116730.0,2016-12-26
603818,曲美家居,1.317,17.7,17.6,17.73,17.28,17.47,1257207.0,0.9552700000000001,22053023.0,68.077,6.441,856892.4,232946.16,2016-12-26
603816,顾家家居,-0.283,49.25,48.95,49.45,48.01,49.39,2208047.0,2.6764200000000002,107325789.0,32.616,12.294,2031562.5,406312.5,2016-12-26
603808,歌力思,2.023,31.27,30.65,31.35,30.24,30.65,757801.0,0.9125900000000001,23440150.0,28.954,4.777,776975.22735,259661.717835,2016-12-26
603806,福斯特,1.308,46.48,45.41,46.49,45.41,45.88,745623.0,0.82654,34368394.0,28.87,4.075,1868496.0,419296.08,2016-12-26
603800,道森股份,5.11,30.03,28.4,30.08,28.36,28.57,6360470.0,9.40898,187303967.0,169.661,6.726,624624.0,203002.8,2016-12-26
603799,华友钴业,1.287,38.55,38.09,39.07,37.01,38.06,16404319.0,6.04718,628241399.0,-82.021,8.444,2284768.41636,1045753.56,2016-12-26
603798,康普顿,1.442,61.92,60.21,62.0,59.62,61.04,664180.0,2.65672,40394921.0,55.784,8.185,619200.0,154800.0,2016-12-26
603789,星光农机,-0.491,28.36,28.38,28.39,27.6,28.5,1989563.0,2.48695,55619062.0,65.451,5.142,571621.324,226880.0,2016-12-26
603788,宁波高发,2.127,42.26,41.15,42.33,41.0,41.38,556801.0,1.13642,23247959.0,50.31,7.711,597556.4,207057.096,2016-12-26
603779,威龙股份,-8.359,41.77,41.34,44.7,41.02,45.58,13418237.0,26.72956,572862752.0,149.179,11.095,836235.4,209685.4,2016-12-26
603778,乾景园林,0.47,25.63,25.57,25.67,24.83,25.51,1107680.0,2.21536,28031262.0,16.429,5.611,512600.0,128150.0,2016-12-26
603777,来伊份,3.167,58.31,54.97,59.08,54.11,56.52,13654365.0,22.75728,784162204.0,79.877,7.693,1399440.0,349860.0,2016-12-26
603766,隆鑫通用,0.373,21.54,21.24,21.6,21.17,21.46,5614643.0,0.6804600000000001,120286078.0,22.674,3.111,1819282.211448,1777310.076114,2016-12-26
603738,泰晶科技,-0.09,77.64,77.0,77.71,74.88,77.71,488949.0,2.93135,37232313.0,77.64,9.846,517703.52,129503.52,2016-12-26
603737,三棵树,1.198,70.95,69.88,71.15,66.0,70.11,717373.0,2.86949,49576915.0,46.071,7.923,709500.0,177375.0,2016-12-26
603729,龙韵股份,-0.013,75.34,75.29,75.99,73.53,75.35,523519.0,1.50312,38973975.0,115.908,6.175,502291.78,262401.038076,2016-12-26
603727,博迈科,1.165,48.64,47.5,48.86,46.21,48.08,6417124.0,10.93207,306211118.0,38.912,7.684,1138881.28,285516.8,2016-12-26
603726,朗迪集团,1.227,51.96,50.41,52.2,49.89,51.33,809105.0,3.41683,41248352.0,60.419,6.782,492165.12,123041.28,2016-12-26
603718,海利生物,0.624,17.74,17.6,17.87,17.1,17.63,2115363.0,0.7222000000000001,36745406.0,46.684,11.81,1142456.0,519611.696,2016-12-26
603716,塞力斯,7.961,129.37,131.81,131.81,125.88,119.83,1823459.0,14.31286,235951496.0,80.354,9.679,659010.78,164817.38,2016-12-26
603708,家家悦,-9.995,36.38,37.12,37.97,36.38,40.42,8436277.0,9.37364,309700070.0,39.543,8.86,1309680.0,327420.0,2016-12-26
603703,盛洋科技,4.209,37.14,35.64,37.16,35.13,35.64,3350226.0,3.49277,122262647.0,88.429,16.688,853105.8,356242.2375,2016-12-26
603701,德宏股份,0.697,62.11,61.0,62.5,60.0,61.68,713648.0,3.64106,43829201.0,66.785,9.171,486942.4,121735.6,2016-12-26
603699,纽威股份,0.416,16.91,16.89,16.96,16.6,16.84,1321309.0,0.8524600000000001,22132907.0,36.761,5.184,1268250.0,262105.0,2016-12-26
603698,航天工程,0.99,28.56,28.03,28.75,27.66,28.28,2517988.0,2.83651,71057322.0,39.123,5.293,1177528.8,253528.799328,2016-12-26
603696,安记食品,-0.263,41.78,41.0,41.8,40.38,41.89,1703900.0,4.93884,69972293.0,70.814,7.322,501360.0,144141.0,2016-12-26
603688,石英股份,0.283,21.28,21.32,21.32,20.53,21.22,1482285.0,1.84916,30907165.0,66.5,4.105,478570.176,170580.48,2016-12-26
603686,龙马环卫,2.306,32.38,31.3,32.72,31.3,31.65,2513685.0,2.3658200000000003,80827421.0,53.967,7.772,881869.3,344037.5,2016-12-26
603678,火炬电子,2.58,73.94,72.17,74.7,70.24,72.08,1032490.0,1.27942,75101928.0,78.66,5.896,1338804.81372,596693.493072,2016-12-26
603669,灵康药业,1.678,30.3,29.61,30.5,29.52,29.8,1804010.0,2.08677,54208904.0,47.344,7.054,787800.0,261943.5,2016-12-26
603667,五洲新春,-0.29,34.36,34.31,34.58,32.0,34.46,2999141.0,5.92716,100569701.0,61.357,7.29,695446.4,173861.6,2016-12-26
603663,三祥新材,1.221,38.12,37.66,38.39,36.8,37.66,1186804.0,3.53742,44742990.0,115.515,12.205,511379.8,127892.6,2016-12-26
603660,苏州科达,3.699,34.76,33.0,35.08,32.11,33.52,16358489.0,32.71698,552258163.0,57.798,11.048,869000.0,173800.0,2016-12-26
603658,安图生物,0.902,54.81,54.39,55.0,53.5,54.32,1136832.0,2.70674,61906679.0,74.068,14.852,2302020.0,230202.0,2016-12-26
603636,南威软件,-1.724,90.05,91.49,91.7,88.02,91.63,299753.0,0.70372,26998994.0,142.937,10.55,915879.4594,383574.72875,2016-12-26
603633,徕木股份,9.99,43.38,38.64,43.38,38.0,39.44,12053692.0,40.0588,502553721.0,100.884,8.279,522078.3,130530.42,2016-12-26
603618,杭电股份,-1.001,11.87,11.9,11.96,11.54,11.99,4798011.0,1.82261,56167737.0,17.985,3.677,815325.263796,312477.75,2016-12-26
603616,韩建河山,-0.489,18.32,18.2,18.38,17.51,18.41,5168742.0,3.50756,92751835.0,112.462,6.519,537435.52,269963.52,2016-12-26
603611,诺力股份,1.201,37.92,37.5,38.06,36.5,37.47,1667963.0,1.79303,62412758.0,55.765,6.39,606720.0,352750.8,2016-12-26
603609,禾丰牧业,-6.698,13.79,14.45,14.45,13.33,14.78,15664683.0,3.74402,215687342.0,36.289,3.9859999999999998,1146192.350751,576962.383214,2016-12-26
603608,天创时尚,1.418,23.61,23.18,23.71,22.72,23.28,3419128.0,4.88447,79376779.0,47.22,4.42,661080.0,165270.0,2016-12-26
603606,东方电缆,1.408,15.12,14.87,15.16,14.54,14.91,1999540.0,1.4360600000000001,29735699.0,94.5,5.6850000000000005,470186.64,210527.856,2016-12-26
603601,再升科技,0.497,16.19,16.05,16.29,15.7,16.11,1759342.0,1.12539,28103341.0,46.416,5.92,625178.88994,253101.508,2016-12-26
603600,永艺股份,1.764,52.5,51.38,52.61,50.85,51.59,538357.0,1.28563,27859655.0,56.452,8.934,525000.0,219843.75,2016-12-26
603599,广信股份,1.738,16.98,16.6,17.07,16.52,16.69,1357900.0,0.99494,22789274.0,22.052,2.7039999999999997,639263.04,231743.04,2016-12-26
603598,引力传媒,6.646,24.23,22.64,24.5,22.22,22.72,6741005.0,6.92379,157876119.0,105.348,11.025,656906.799,235903.28,2016-12-26
603589,口子窖,0.446,31.56,31.5,31.62,30.91,31.42,1966707.0,0.67003,61610887.0,29.774,4.541,1893600.0,926362.99062,2016-12-26
603588,高能环境,1.761,31.21,30.69,31.29,29.95,30.67,3393421.0,1.3978700000000002,103412367.0,47.432,5.491,1032810.683,757642.487204,2016-12-26
603585,苏利股份,-9.523,68.03,74.0,75.0,67.82,75.19,11805763.0,47.22305,824899429.0,43.331,7.635,680300.0,170075.0,2016-12-26
603577,汇金通,10.011,19.34,19.34,19.34,19.34,17.58,11087.0,0.038,214423.0,29.804,3.2439999999999998,225659.12,56434.12,2016-12-26
603569,长久物流,1.625,45.04,44.1,45.2,43.0,44.32,1976161.0,4.93917,87401061.0,52.988,10.543,1801645.04,180205.04,2016-12-26
603568,伟明环保,2.369,23.33,22.8,23.34,22.35,22.79,2232407.0,1.70885,51121901.0,34.821,8.602,1588073.1,304778.454,2016-12-26
603567,珍宝岛,-0.952,19.77,19.89,19.95,19.56,19.96,1865995.0,0.6831100000000001,36759319.0,13.614,4.025,1678789.32,540037.32,2016-12-26
603566,普莱柯,-0.246,24.34,24.16,24.37,23.62,24.4,2172856.0,1.34029,52159399.0,24.586,5.389,787983.16,394595.65012,2016-12-26
603559,中通国脉,-9.214,56.46,55.98,60.98,55.97,62.19,10473888.0,47.60858,591981400.0,91.065,12.268,496848.0,124212.0,2016-12-26
603558,健盛集团,0.0,30.97,0.0,0.0,0.0,30.97,0.0,0.0,0.0,86.028,6.279,1147438.5,357703.5,2016-12-26
603556,海兴电力,-0.404,46.81,46.7,47.0,45.25,47.0,4180404.0,4.47868,192362235.0,30.2,6.874,1747604.54,436924.54,2016-12-26
603555,贵人鸟,0.0,30.76,0.0,0.0,0.0,30.76,0.0,0.0,0.0,56.91,8.253,1933580.191868,350310.26,2016-12-26
603528,多伦科技,0.874,66.97,66.0,66.98,64.1,66.39,1344462.0,2.60151,88198671.0,34.038,10.648,1384135.96,346100.96,2016-12-26
603520,司太立,0.043,46.8,46.51,46.97,45.0,46.78,789500.0,2.63167,36252223.0,60.779,7.053,561600.0,140400.0,2016-12-26
603519,立霸股份,0.935,31.29,31.0,31.48,30.5,31.0,652200.0,0.8483400000000001,20280016.0,36.942,7.507,500640.0,240556.2684,2016-12-26
603518,维格娜丝,0.152,32.9,32.7,32.97,31.98,32.85,2502330.0,4.49836,81181379.0,43.289,3.412,486854.2,183014.804,2016-12-26
603515,欧普照明,0.563,39.27,38.64,39.28,37.55,39.05,2442095.0,4.21051,93743086.0,46.75,7.783,2275614.441408,227766.0,2016-12-26
603508,思维列控,0.315,70.15,68.99,70.19,67.82,69.93,1674144.0,2.56771,115035950.0,31.178,4.74,1122400.0,457378.0,2016-12-26
